,Work,School,University,Leisure,Shopping,Accompany,Other
1.0,0.0,0.00047415836889521106,0.0,0.0020567667626491155,0.004430811179277436,0.024657534246575345,0.009523809523809523
2.0,0.0002588661661920787,0.0,0.0,0.0004113533525298232,0.013292433537832313,0.0136986301369863,0.028571428571428567
3.0,0.0,0.001422475106685633,0.0,0.0004113533525298232,0.008861622358554875,0.00684931506849315,0.0047619047619047615
4.0,0.0,0.0,0.0,0.0004113533525298232,0.005453306066803,0.00410958904109589,0.0047619047619047615
5.0,0.001553196997152472,0.0009483167377904221,0.0,0.00658165364047717,0.08384458077709611,0.15136986301369862,0.0761904761904762
6.0,0.0,0.0,0.0,0.0,0.00136332651670075,0.0013698630136986301,0.0
7.0,0.0,0.0,0.0,0.0,0.0037491479209270616,0.00684931506849315,0.0047619047619047615
8.0,0.0,0.0,0.0,0.0008227067050596463,0.003067484662576687,0.009589041095890413,0.01904761904761905
9.0,0.0,0.0,0.0,0.0004113533525298232,0.0003408316291751875,0.0006849315068493152,0.009523809523809523
10.0,0.0012943308309603936,0.001422475106685633,0.0,0.009872480460715757,0.0650988411724608,0.08424657534246575,0.061904761904761914
11.0,0.0,0.0,0.0,0.0,0.0017041581458759373,0.0,0.0047619047619047615
12.0,0.0,0.0,0.0,0.0,0.0006816632583503749,0.002054794520547945,0.0
13.0,0.0,0.0,0.0,0.0008227067050596463,0.004430811179277436,0.0054794520547945215,0.0
14.0,0.0,0.00047415836889521106,0.0,0.0008227067050596463,0.002044989775051125,0.004794520547945207,0.0
15.0,0.0,0.001422475106685633,0.0,0.006993006993006993,0.04839809134287662,0.06438356164383563,0.06666666666666668
16.0,0.0,0.0,0.0,0.0,0.0003408316291751875,0.0,0.0
17.0,0.0,0.0,0.0,0.0004113533525298232,0.0017041581458759373,0.0013698630136986301,0.0047619047619047615
18.0,0.0,0.00047415836889521106,0.0,0.0008227067050596463,0.0017041581458759373,0.003424657534246575,0.0047619047619047615
20.0,0.002588661661920787,0.0,0.0,0.010283833813245578,0.043626448534424,0.0273972602739726,0.042857142857142864
21.0,0.0,0.0,0.0,0.0004113533525298232,0.0010224948875255623,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0010224948875255623,0.002054794520547945,0.0
23.0,0.0,0.0,0.0,0.0012340600575894696,0.002044989775051125,0.0013698630136986301,0.0
24.0,0.0,0.0,0.0,0.0,0.0010224948875255623,0.0,0.0
25.0,0.0002588661661920787,0.0,0.0,0.008638420403126285,0.04021813224267212,0.02054794520547945,0.01904761904761905
26.0,0.0,0.0,0.0,0.0004113533525298232,0.0006816632583503749,0.0006849315068493152,0.0
27.0,0.0,0.0,0.0,0.0020567667626491155,0.0017041581458759373,0.00410958904109589,0.0
28.0,0.0,0.0,0.0,0.0016454134101192926,0.0037491479209270616,0.0,0.0
29.0,0.0,0.0,0.0,0.002468120115178939,0.0010224948875255623,0.0006849315068493152,0.0
30.0,0.0018120631633445508,0.0,0.0,0.01192924722336487,0.056578050443081125,0.044520547945205484,0.042857142857142864
32.0,0.0,0.0,0.0,0.0004113533525298232,0.0010224948875255623,0.002054794520547945,0.0
33.0,0.0,0.0,0.0,0.0012340600575894696,0.0003408316291751875,0.0013698630136986301,0.0
34.0,0.0,0.0,0.0,0.0,0.0003408316291751875,0.0,0.0
35.0,0.0005177323323841574,0.0009483167377904221,0.0,0.00946112710818593,0.031015678254942062,0.03356164383561644,0.0047619047619047615
36.0,0.0,0.0,0.0,0.0004113533525298232,0.0003408316291751875,0.0006849315068493152,0.0
37.0,0.0,0.0,0.0,0.0,0.0003408316291751875,0.002054794520547945,0.0
