FICHE;SECT1;SECT2;ECH;NUMPERS;P2;P3;P4;P5;P6;P7;P8;P9;P10;Codif_PCS;P14;P15SECTEUR;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P1;P12A1;P12B1;P13A1;P12A2;P12B2;P13A2;P12A3;P12B3;P13A3;L10;L11;L12;P24A;P24B;Coef
2;01;006;071;01;2;2;80;1;1;1;2;7;0;46;;;;;;1;5;4;3;4;4;1;1;5;;;;;;;;;;;;5;5;111.7186
2;01;006;071;02;1;1;76;1;1;1;3;7;0;82;;;;;;1;5;3;4;4;4;2;1;5;;;;;;;;;;;;5;5;111.7186
2;01;040;072;01;2;2;60;2;2;2;1;7;0;66;;;;;;3;5;5;2;5;5;2;1;5;;;;;;;;;;;;5;5;115.9820
2;01;040;072;02;1;1;59;1;2;1;1;7;0;66;;;;;;3;5;1;5;5;5;1;1;5;;;;;;;;;;;;5;5;115.9820
2;01;040;072;03;1;3;31;1;2;1;2;1;0;66;2;001013;;;;;;;;;;3;2;5;;;;;;;;;;;;;;115.9820
2;01;019;074;01;1;1;34;1;1;1;6;1;0;36;2;050038;1;2;;2;5;1;2;5;5;2;1;5;;;;;;;;;;05;2;5;5;115.7969
2;01;007;075;01;1;1;31;1;1;1;3;1;0;21;2;001034;1;3;;5;5;1;4;4;4;1;1;5;;;;;;;;;;98;6;4;4;115.7969
2;01;004;077;01;1;1;52;1;2;1;2;2;0;61;2;001008;1;3;;4;2;1;5;5;5;1;1;5;;;;;;;;;;89;2;5;5;115.7969
2;01;037;078;01;1;1;38;1;1;1;2;1;2;51;2;001021;1;3;;5;5;1;1;5;5;1;1;5;;;;;;;;;;06;3;5;5;128.2149
2;01;037;078;02;2;2;36;1;1;1;5;1;2;36;2;800013;1;2;;3;5;1;2;5;5;1;1;5;;;;;;;;;;93;4;5;5;128.2149
2;01;037;078;03;2;3;10;2;2;2;0;5;0;83;2;001037;;;;3;5;5;1;5;5;1;1;5;;;;;;;;;;;;5;5;128.2149
2;01;037;078;04;1;3;03;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;128.2149
2;01;024;079;01;2;1;34;1;1;1;4;1;0;54;2;007015;1;3;;5;5;1;5;4;4;1;1;5;;;;;;;;;;09;6;5;5;111.7186
2;01;024;079;02;1;2;32;1;1;1;5;1;0;51;2;001020;1;3;;4;5;1;2;5;5;1;1;5;;;;;;;;;;04;3;5;5;111.7186
