FICHE;DATEJJ;DATEMM;DATEAA;SECT1;SECT2;ECH;JOURSEM_DEP;M1;M2;M3;M4;M5;M6;M7A1 ;M8A1;M9A1;M10A1;M11A1 ;M12A1 ;M13A1 ;M7A2 ;M8A2;M9A2;M10A2;M11A2 ;M12A2 ;M13A2 ;M7A3 ;M8A3;M9A3;M10A3;M11A3 ;M12A3 ;M13A3 ;M7A4 ;M8A4;M9A4;M10A4;M11A4 ;M12A4 ;M13A4 ;Coef;L1 ;L2 ;L3 ;L4 ;L5A1 ;L32A1 ;L5A2;L32A2 ;L5A3 ;L32A3 ;L5A4 ;L32A4 ;L6 ;L7 ;L8 ;L9 ;L31 ;R1 ;R2 ;R3 ;R4 
1;01;04;09;60;031;038;2;2;4;1;1;1;2;1;1;1996;07;1;1;2;1;3;1999;07;1;1;2;;;;;;;;;;;;;;;132.0350;1;;2;2005;2001;2;2005;2;;;;;4;4;;;07;;000750;000040;000256
1;31;03;09;60;044;039;1;2;2;1;1;1;1;1;3;2001;06;1;1;2;;;;;;;;;;;;;;;;;;;;;;115.0472;1;25;1;2008;2004;2;;;;;;;1;3;;;06;000800;;000400;
1;16;04;09;60;043;046;3;2;1;1;1;2;2;1;3;2000;06;1;2;2;1;4;2008;06;1;2;2;;;;;;;;;;;;;;;115.0472;2;;1;1975;2002;2;2008;2;;;;;2;3;;;04;;;000600;000135
1;17;03;09;60;003;048;1;1;1;1;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119.2470;1;;1;1962;;;;;;;;;1;3;;;11;;;000100;
1;19;03;09;60;024;049;3;1;1;1;1;1;3;1;3;1990;05;1;1;2;1;3;2001;05;1;1;2;1;3;2008;05;1;1;2;;;;;;;;119.4376;2;;3;1989;1990;2;2001;2;2008;2;;;2;4;;;04;;;000090;
1;19;03;09;60;004;050;3;1;1;1;1;1;2;1;3;2001;05;1;1;2;1;3;2007;05;2;1;2;;;;;;;;;;;;;;;119.2470;2;;2;1978;2002;2;2007;2;;;;;2;1;1;1;07;;;000210;
1;23;05;09;60;025;053;5;3;1;1;1;1;2;1;1;1998;05;1;1;2;1;1;2004;07;1;1;2;;;;;;;;;;;;;;;115.0472;3;;1;2007;1998;2;2004;2;;;;;2;4;;;11;;;000150;
1;12;03;09;60;029;054;3;1;1;1;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119.2470;1;;2;1958;;;;;;;;;1;4;;;02;;;000140;
1;18;03;09;60;013;056;2;1;4;1;2;2;2;2;3;1994;10;1;1;2;1;3;2007;05;1;1;2;;;;;;;;;;;;;;;115.0472;1;;3;2002;2004;2;2007;2;;;;;2;3;;;05;;000362;000350;
1;25;03;09;60;044;058;2;1;1;1;1;2;1;1;3;2004;06;1;1;2;;;;;;;;;;;;;;;;;;;;;;119.2470;1;;2;1939;2004;2;;;;;;;1;3;;;03;;;000300;
1;25;03;09;60;011;061;2;1;2;1;1;1;2;1;2;1986;07;2;1;2;1;1;2006;08;1;1;2;;;;;;;;;;;;;;;154.4428;2;25;2;1996;2006;2;2006;2;;;;;5;2;1;4;07;000500;;000400;
1;19;03;09;60;004;062;3;1;1;1;1;1;2;1;1;2002;07;1;1;2;1;1;1992;04;1;1;2;;;;;;;;;;;;;;;115.0472;2;;4;1978;2002;2;2003;2;;;;;3;3;;;05;;;000250;
1;26;03;09;60;002;063;3;3;4;1;1;1;1;1;1;1996;08;1;1;2;;;;;;;;;;;;;;;;;;;;;;119.2470;3;;2;2007;2005;2;;;;;;;0;4;;;04;;000487;000120;
1;24;03;09;60;002;065;1;1;2;1;1;1;2;1;3;1999;08;1;1;2;1;1;2004;05;1;1;2;;;;;;;;;;;;;;;119.4376;1;25;2;2002;2003;2;2009;2;;;;;4;4;;;08;001200;;000230;
1;21;03;09;60;031;068;5;1;2;1;1;1;2;1;3;2006;05;1;1;2;1;1;2000;04;1;1;2;;;;;;;;;;;;;;;119.4376;1;15;2;2006;2008;2;2002;2;;;;;4;2;1;4;11;;;;
1;12;03;09;60;004;069;3;1;1;1;1;2;2;1;1;;;1;1;2;1;1;;;1;1;2;;;;;;;;;;;;;;;119.2470;2;;3;1970;;2;;2;;;;;1;4;;;11;;;000045;
1;17;03;09;60;031;070;1;1;1;1;1;2;1;1;3;2002;05;1;1;2;;;;;;;;;;;;;;;;;;;;;;115.0472;1;;3;1982;2002;2;;;;;;;2;3;1;4;05;;;;
