,code_emd,CODE_IRIS,AREA,PERCENTAGE,Home,persons_EMD,persons_IRIS
638,009009,673090102,1203630.07526,80.6381987318,0,0.0,0.0
636,009009,671730000,5013.52082933,0.33588500096,0,0.0,0.0
639,009009,673260000,17132.1324636,1.1477814743,0,0.0,0.0
640,009009,674710101,14789.3232881,0.9908230235600001,0,0.0,0.0
642,009010,673090102,203814.280447,100.105264768,009010,1.0,1.0
641,009010,673090101,765.2675578589999,0.37586822342,009010,1.0,0.0
643,009011,672560000,9852.79920687,2.39293726461,009011,4.0,0.0
644,009011,673090101,302475.611384,73.4618809254,009011,4.0,3.0
645,009011,673090102,99515.6189963,24.1692363873,009011,4.0,1.0
647,009012,673090102,9649.10060918,3.6501957509199996,009012,8.0,0.0
646,009012,673090101,253232.383011,95.7962618385,009012,8.0,8.0
649,009013,673090102,210390.69766,78.9603480745,009013,13.0,10.0
648,009013,673090101,56185.5595207,21.0866325643,009013,13.0,3.0
