DCOMIRIS,HOSPITALm2,Sum of HOSPITAL_employee,HOSPITAL_customer,FITNESS_m2,FITNESS_employee,FITNESS_customers,PUBS_m2,PUBS_employee,PUBS_employee2,PUBS_customers,CINEMA_m2,CINEMA_employee,CINEMA_customers,MUSEUM_m2,MUSEUM_employee,MUSEUM_customers,SUM_lesiure,size
673650104,,0,0.0,,0.0,0.0,249.6,4.7,4.7,409.3,,0.0,0.0,,0.0,0.0,409.3,410
673650105,,0,0.0,,0.0,0.0,232.2,4.4,4.4,380.8,,0.0,0.0,,0.0,0.0,380.8,381
673660000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673670000,,0,0.0,1260.6,11.8,283.6,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,283.6,284
673680000,,0,0.0,2667.1,22.8,600.1,1279.7,24.1,24.1,2098.6,,0.0,0.0,,0.0,0.0,2698.7,2699
673690000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673700000,,0,0.0,,0.0,0.0,70.2,1.3,1.3,115.1,,0.0,0.0,,0.0,0.0,115.1,116
673710000,,0,0.0,2103.1,16.8,473.2,1120.0,21.1,21.1,1836.8,,0.0,0.0,597.8,10.0,119.6,2429.5,2430
673720000,,0,0.0,1261.6,11.4,283.9,339.2,6.5,6.5,556.3,,0.0,0.0,239.4,4.0,47.9,888.0,888
673730000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673750000,,0,0.0,131.2,1.0,29.5,229.1,4.3,4.3,375.8,,0.0,0.0,,0.0,0.0,405.3,406
673770000,,0,0.0,1583.7,12.7,356.3,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,881.1,882
673780000,,0,0.0,429.1,4.7,96.5,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,96.5,97
673790000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673800000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673810000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673820000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673830000,,0,0.0,132.7,1.1,29.9,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,29.9,30
673840000,,0,0.0,,0.0,0.0,340.2,6.4,6.4,557.9,,0.0,0.0,,0.0,0.0,557.9,558
673850000,,0,0.0,,0.0,0.0,68.1,1.3,1.3,111.7,,0.0,0.0,,0.0,0.0,111.7,112
673860000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673870000,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673880101,,0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
673880102,,0,0.0,,0.0,0.0,96.6,1.8,1.8,158.5,,0.0,0.0,,0.0,0.0,158.5,159
673890000,,0,0.0,5235.8,42.4,1178.1,320.0,6.0,6.0,524.8,,0.0,0.0,,0.0,0.0,1702.9,1703
