value,destination_zone,origin_zone
27004,18,17
27005,16,15
27006,45,46
27007,63,63
27008,78,76
27009,11,10
27010,21,21
27011,46,48
27012,41,41
27013,11,11
27014,73,72
28001,71,72
28002,66,66
28003,29,27
28004,199,201
28005,69,69
28006,49,48
28007,17,17
28008,32,31
28009,59,59
28010,42,42
28011,29,29
28012,72,72
28013,24,24
28014,29,29
29001,66,65
29002,258,261
29003,85,83
29004,28,30
29005,52,52
30001,209,205
30002,92,89
30003,91,90
30004,102,104
30005,54,54
30006,54,54
30007,64,63
30008,116,117
30009,54,51
31001,245,244
31002,69,67
31003,18,19
31004,66,68
31005,56,51
31006,15,15
31007,126,127
31008,80,75
31009,45,46
31010,38,35
31011,27,26
31012,72,76
31013,81,81
31014,83,83
31015,56,57
31016,13,15
31017,8,8
32001,40,41
32002,21,20
32003,57,57
32004,65,63
32005,73,71
32006,133,131
32007,24,25
32008,14,14
32009,94,92
32010,62,63
32011,42,42
32012,60,59
32013,10,10
33001,158,160
33002,134,136
33003,161,160
33004,82,84
33005,83,83
33006,68,67
33007,46,44
33008,83,81
33009,86,86
34001,70,71
34002,85,86
34003,49,51
34004,27,26
34005,34,35
34006,52,52
34007,48,49
34008,32,33
34009,128,127
34010,71,70
34011,12,11
35001,77,78
35002,133,133
35003,33,33
35004,93,94
35005,15,15
35006,26,26
35007,97,99
35008,74,74
35009,34,33
35010,31,31
35011,44,43
35012,35,35
36001,120,120
36002,113,113
36003,75,77
36004,69,67
36005,133,134
36006,132,132
36007,19,19
36008,66,63
36009,51,54
36010,54,55
36011,107,101
36012,13,12
36013,27,27
37001,184,187
37002,303,304
37003,88,85
37004,132,133
37005,24,24
37006,34,34
37007,58,59
37008,65,64
37009,142,142
37010,80,81
37011,91,88
37012,176,177
37013,122,121
38011,27,27
38012,5,5
38013,12,12
38014,25,25
38015,8,8
38016,35,35
38017,9,9
38018,17,17
38019,1,1
38021,9,9
38022,78,79
38023,34,33
38024,33,32
38025,53,52
38026,4,4
38027,5,5
38028,8,8
38029,13,13
39001,172,170
39013,35,35
39014,143,145
39015,80,80
41001,1,1
41002,5,5
41003,22,22
41004,11,10
41006,4,4
41007,2,1
41008,5,5
41009,63,63
41010,42,42
41012,9,9
41013,12,12
41014,8,8
41015,122,124
41016,27,27
41017,107,107
41018,21,22
41019,26,25
41020,14,14
41022,27,26
41023,56,56
41024,29,29
41025,9,11
41026,46,45
41027,22,24
41028,78,78
41029,14,14
41030,16,16
41031,33,33
41032,22,22
42001,9,10
42002,77,74
42003,6,7
42004,35,34
42005,1,1
42006,1,1
42007,12,12
42008,1,1
42009,3,3
42010,11,11
42012,85,83
42013,3,3
42014,37,38
42015,34,32
42016,0,1
42017,3,3
42018,55,54
42019,9,10
42020,13,13
42021,13,14
42022,1,1
42023,1,1
42024,23,22
42025,17,17
42026,80,78
42027,56,56
42028,31,31
42029,2,2
42030,2,2
42033,11,10
42034,7,7
42035,1,1
42036,1,1
42037,11,10
43001,28,28
43002,7,9
43003,25,25
43004,6,5
43005,4,4
43006,0,1
43007,2,2
43008,2,2
43009,7,9
43010,19,19
43011,28,30
43012,2,2
43013,1,1
43014,51,50
43015,42,43
43016,3,3
43017,11,11
43018,1,1
43020,18,18
43021,3,2
43022,35,32
43023,21,22
43024,1,1
43025,53,53
43026,18,18
43027,51,51
43028,12,12
43029,3,3
44001,2,2
44002,11,11
44003,17,17
44004,1,1
44006,1,1
44007,21,19
44009,1,1
44010,6,6
44012,0,1
44013,10,10
44014,13,11
44015,23,23
44016,16,17
44017,0,1
44018,71,70
44019,6,6
44020,42,41
44021,26,26
44022,13,13
44023,5,5
44025,4,4
44026,18,17
44028,1,1
44029,2,2
44030,1,1
44032,12,11
44033,19,20
44034,30,30
44035,2,2
44036,76,76
44037,41,42
44038,73,73
44039,20,20
44040,29,29
44041,15,16
44042,20,20
44043,2,2
44044,14,14
44045,25,25
44046,4,4
44047,7,8
44048,19,19
44050,88,87
44051,23,22
44052,7,7
44053,13,13
44055,2,2
44056,9,9
44057,3,3
44059,15,15
45001,58,57
45002,3,3
45003,14,10
45004,127,130
45005,59,59
45006,74,75
45007,26,26
45008,9,9
45009,33,33
45010,1,1
45011,2,2
45012,50,49
45013,20,21
45014,33,33
46001,73,74
46002,19,19
46003,21,21
46004,54,54
46005,1,1
46006,6,6
46007,27,26
46008,10,10
46009,50,49
46010,18,18
46011,35,34
46012,39,39
46013,38,38
46014,44,44
46015,68,68
47002,12,12
47003,21,21
47004,11,11
47005,2,3
47006,3,3
47007,7,6
47009,24,24
47010,9,9
47011,25,25
47012,106,104
47013,5,5
47014,17,17
47015,18,21
47016,4,4
47017,9,9
47018,2,2
47019,7,7
47022,13,13
47023,7,7
47024,24,24
47026,13,13
47027,5,5
47029,3,3
47030,3,3
47031,4,4
47032,27,26
47033,10,10
47034,15,15
47036,14,12
47037,25,23
47038,1,1
48001,15,15
48002,205,204
48003,185,187
48004,139,141
48005,70,70
48006,74,71
48007,25,26
48008,2,2
48009,6,6
48010,7,7
48011,46,46
48012,44,45
48013,35,34
48014,6,6
48015,56,56
49001,3,4
49002,42,42
49003,12,9
49004,11,11
49005,11,11
49007,18,17
49008,12,13
49009,69,68
49010,79,78
49011,8,8
49012,2,2
49013,3,3
49014,101,100
49015,51,51
49016,3,3
49017,8,8
49018,7,7
49019,6,6
49020,25,25
49021,3,3
49022,2,2
49023,29,28
49024,32,32
49025,5,5
49026,58,58
50001,23,24
50002,255,257
50003,95,93
50004,66,65
50005,99,98
50006,58,58
50007,20,21
50008,29,28
50009,9,9
50010,23,23
50011,17,17
50012,47,46
50013,33,33
50014,79,79
50015,15,15
50016,23,23
50017,37,37
50018,6,6
50019,12,12
50020,16,16
50021,2,2
50022,33,33
50023,9,10
50024,6,6
50025,24,23
50026,81,80
50027,36,35
50028,12,11
50029,4,4
50030,6,5
50031,17,17
50032,18,18
50033,56,55
50034,7,7
50035,4,4
50036,56,55
50037,4,4
50038,14,15
50039,3,3
50040,8,8
50041,8,7
50042,2,2
50043,17,16
50044,1,1
50045,28,27
50046,4,4
50047,22,22
50048,7,8
50049,2,2
50050,1,1
50051,1,1
50052,28,28
51001,6,5
51002,60,61
51003,31,30
51004,31,31
51005,28,28
51006,29,29
51007,12,11
51008,47,48
51009,9,9
51010,19,20
51011,13,16
51013,13,13
51014,6,6
51015,2,2
51016,6,6
51017,3,3
51018,5,5
51019,60,61
51021,1,1
51024,1,1
51025,2,2
51026,17,17
51027,6,6
51028,29,29
51029,18,18
51030,24,27
